,no rank,superkingdom,order,family,genus,species,subfamily,phylum,subphylum,class
BeeP-37-2013_NODE_824_length_745_cov_1_850299,unclassified Comovirus,Vira,Picornavirales,Comoviridae,Comovirus,Turnip ringspot virus,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-37-2013_NODE_828_length_744_cov_3_805097,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,WClMV,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-37-2013_NODE_843_length_736_cov_4_056146,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,WClMV,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-37-2013_NODE_853_length_733_cov_2_323171,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-37-2013_NODE_876_length_724_cov_3_238022,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Rose cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-37-2013_NODE_921_length_709_cov_2_079114,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-37-2013_NODE_95_length_2786_cov_87_313400,RNA viruses,Vira,Unclassified,Bromoviridae,Ilarvirus,PMoV,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-37-2013_NODE_977_length_688_cov_5_684124,unclassified ssRNA positive-strand viruses,Vira,Unclassified,Unclassified,Unclassified,Kelp fly virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-38-2013_NODE_146_length_784_cov_1_961810,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-38-2013_NODE_14_length_3910_cov_16_664409,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Ambidensovirus sp.,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-38-2013_NODE_4_length_14545_cov_165_264238,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Apis rhabdovirus 1,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BeeP-38-2013_NODE_80_length_1156_cov_7_763670,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Citrullus lanatus cryptic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-39-2013_NODE_4_length_4093_cov_4_401892,unclassified Dicistroviridae,Vira,Picornavirales,Dicistroviridae,Unclassified,Dicistroviridae sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-40-2013_NODE_11_length_4939_cov_10_070753,Blattella germanica densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Blattodean ambidensovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-40-2013_NODE_156_length_606_cov_4_914934,all,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Pteropus associated gemycircularvirus 10,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-40-2013_NODE_157_length_605_cov_1_765152,RNA viruses,Vira,Unclassified,Partitiviridae,Betacryptovirus,Dill cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-41-2013_NODE_16_length_1458_cov_1_703838,Brassica campestris chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Brassica campestris chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-41-2013_NODE_173_length_507_cov_2_402326,Brassica campestris chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Brassica campestris chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-41-2013_NODE_23_length_1329_cov_4_376997,RNA viruses,Vira,Unclassified,Virgaviridae,Hordeivirus,Lychnis ringspot virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-41-2013_NODE_27_length_1190_cov_10_460916,RNA viruses,Vira,Unclassified,Virgaviridae,Hordeivirus,Lychnis ringspot virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-41-2013_NODE_29_length_1166_cov_12_362718,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Shahe picorna-like virus 11,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-41-2013_NODE_6_length_2673_cov_8_085131,unclassified Dicistroviridae,Vira,Picornavirales,Dicistroviridae,Unclassified,Dicistroviridae sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-41-2013_NODE_88_length_673_cov_2_317114,Brassica campestris chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Brassica campestris chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-42-2013_NODE_14_length_1482_cov_5_997865,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,Actinidia virus X,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-42-2013_NODE_3_length_4272_cov_6_080095,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,Actinidia virus X,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-42-2013_NODE_7_length_2098_cov_5487_965364,RNA viruses,Vira,Articulavirales,Orthomyxoviridae,Thogoto-like viruses,Unclassified,Unclassified,Negarnaviricota,Polyploviricotina,Insthoviricetes
BeeP-42-2013_NODE_82_length_674_cov_6_728643,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,Actinidia virus X,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-43-2013_NODE_1_length_6265_cov_122_817873,unclassified Tymoviridae,Vira,Tymovirales,Tymoviridae,Unclassified,Bee Macula-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-43-2013_NODE_224_length_574_cov_1_442656,unclassified Chrysovirus,Vira,Unclassified,Chrysoviridae,Chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-43-2013_NODE_225_length_573_cov_2_088710,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-43-2013_NODE_24_length_1540_cov_7_315789,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Kilifi Virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-43-2013_NODE_281_length_509_cov_1_631944,unclassified Chrysovirus,Vira,Unclassified,Chrysoviridae,Chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-43-2013_NODE_71_length_931_cov_2_929742,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Milolii virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-43-2013_NODE_7_length_2074_cov_4_172759,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 58,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_102_length_1886_cov_7_111111,RNA viruses,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Cherry chlorotic rusty spot associated partitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_1096_length_541_cov_6_842672,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Red clover varicosavirus,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BeeP-44-2013_NODE_1105_length_539_cov_1_590909,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_110_length_1821_cov_96_515482,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Maize associated partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_111_length_1816_cov_553_041403,unclassified Alphapartitivirus,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Medicago sativa alphapartitivirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_1122_length_536_cov_0_967320,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Changjiang picorna-like virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_1134_length_533_cov_1_317982,RNA viruses,Vira,Unclassified,Partitiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_113_length_1805_cov_6_648727,unclassified Nepovirus,Vira,Picornavirales,Comoviridae,Nepovirus,Red clover nepovirus A,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_11_length_5160_cov_56_990163,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Lupine feces-associated densovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_1200_length_521_cov_1_718468,environmental samples,Vira,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_123_length_1762_cov_3_014837,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Odonata-associated circular virus-15,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_1275_length_509_cov_1_131944,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_131_length_1721_cov_4_365572,unclassified Nepovirus,Vira,Picornavirales,Comoviridae,Nepovirus,Red clover nepovirus A,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_139_length_1689_cov_4_986973,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Panax notoginseng virus A,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_146_length_1607_cov_51_104575,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Citrullus lanatus cryptic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_158_length_1558_cov_9_680621,RNA viruses,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Cherry chlorotic rusty spot associated partitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_159_length_1553_cov_3_344851,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei rhabdo-like virus 4,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_171_length_1482_cov_8_566548,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Melon partitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_181_length_1463_cov_31_704185,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Carnation cryptic virus 3,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_183_length_1452_cov_2_285818,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Diuris pendunculata cryptic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_188_length_1438_cov_3_861132,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Wuhan insect virus 26,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_193_length_1419_cov_27_641580,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Citrullus lanatus cryptic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_196_length_1404_cov_7_092690,RNA viruses,Vira,Unclassified,Partitiviridae,Alphacryptovirus,WCCV-1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_209_length_1371_cov_3_703246,unclassified Nepovirus,Vira,Picornavirales,Comoviridae,Nepovirus,Red clover nepovirus A,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_210_length_1365_cov_44_951863,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Carnation cryptic virus 3,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_224_length_1316_cov_15_827280,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Carnation cryptic virus 3,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_234_length_1287_cov_3_134711,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Maize associated partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_253_length_1236_cov_3_773080,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Wuhan insect virus 26,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_273_length_1153_cov_3_786245,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Melon partitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_279_length_1138_cov_7_955702,unclassified Nepovirus,Vira,Picornavirales,Comoviridae,Nepovirus,Red clover nepovirus A,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_314_length_1043_cov_2_365424,Anthurium mosaic-associated virus,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Anthurium mosaic-associated chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_317_length_1018_cov_2_442083,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Lupine feces-associated densovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_321_length_1006_cov_2_803014,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_322_length_1005_cov_3_358836,RNA viruses,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Persea americana chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_327_length_997_cov_7_509783,unclassified Phycodnaviridae,Vira,Unclassified,Phycodnaviridae,Unclassified,Chrysochromulina ericina virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_333_length_979_cov_1_910200,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_339_length_972_cov_25_477095,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,AMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_357_length_953_cov_4_189498,RNA viruses,Vira,Unclassified,Partitiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_358_length_951_cov_3_274600,RNA viruses,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Persea americana chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_398_length_908_cov_3_724428,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Delisea pulchra totivirus IndA,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_403_length_899_cov_1_536496,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_426_length_880_cov_2_312578,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei rhabdo-like virus 4,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_454_length_857_cov_2_866667,unclassified dsRNA viruses,Vira,Unclassified,Unclassified,Unclassified,Kiln Barn virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_457_length_853_cov_2_690722,dsDNA viruses,Vira,Unclassified,Unclassified,Pandoravirus,Pandoravirus quercus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_511_length_799_cov_2_969529,unclassified dsRNA viruses,Vira,Unclassified,Unclassified,Unclassified,Kiln Barn virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_555_length_763_cov_1_887755,Anthurium mosaic-associated virus,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Anthurium mosaic-associated chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_562_length_757_cov_1_511765,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Puccinia striiformis totivirus 3,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_569_length_753_cov_1_368343,unclassified Phycodnaviridae,Vira,Unclassified,Phycodnaviridae,Unclassified,Orpheovirus IHUMI-LCC2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_594_length_735_cov_2_428571,CpDNV,Vira,Unclassified,Parvoviridae,Ambidensovirus,Dipteran ambidensovirus 1,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_612_length_721_cov_3_857143,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Magnaporthe oryzae partitivirus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_636_length_707_cov_2_615873,unclassified Nepovirus,Vira,Picornavirales,Comoviridae,Nepovirus,Red clover nepovirus A,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_647_length_700_cov_2_067416,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Phakopsora pachyrhizi mycovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_678_length_684_cov_2_296540,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Bombus cryptarum densovirus,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_683_length_683_cov_2_070957,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Wuhan insect virus 26,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_69_length_2305_cov_1102_527828,RNA viruses,Vira,Unclassified,Partitiviridae,Betacryptovirus,White clover cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_703_length_673_cov_1_587248,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Red clover varicosavirus,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BeeP-44-2013_NODE_737_length_656_cov_68_234888,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,AMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_738_length_656_cov_4_483592,RNA viruses,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Persea americana chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_772_length_638_cov_2_780749,unclassified Nepovirus,Vira,Picornavirales,Comoviridae,Nepovirus,Red clover nepovirus A,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_822_length_619_cov_1_321033,RNA viruses,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Beet cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_835_length_615_cov_2_358736,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Red clover varicosavirus,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BeeP-44-2013_NODE_848_length_613_cov_0_815299,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_863_length_607_cov_1_732075,Circoviridae 5 LDMD-2013,Vira,Unclassified,Circoviridae,Unclassified,Circoviridae LDMD-2013a,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_903_length_593_cov_2_054264,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_90_length_2008_cov_8_007250,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_923_length_586_cov_1_082515,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 62,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_942_length_578_cov_2_449102,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_944_length_578_cov_1_584830,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_94_length_1947_cov_31_678610,RNA viruses,Vira,Unclassified,Partitiviridae,Alphacryptovirus,WCCV-1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_958_length_574_cov_2_416499,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_975_length_572_cov_1_351515,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured marine virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-44-2013_NODE_99_length_1913_cov_780_763617,unclassified Alphapartitivirus,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Pear alphapartitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-45-2013_NODE_100_length_1298_cov_10_737920,RNA viruses,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Pepper cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-45-2013_NODE_197_length_742_cov_1_870677,Cherax quadricarinatus densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Decapod ambidensovirus 1,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-45-2013_NODE_325_length_571_cov_2_016194,RNA viruses,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Persea americana chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-45-2013_NODE_62_length_1693_cov_5371_255569,unclassified Thogotovirus,Vira,Articulavirales,Orthomyxoviridae,Thogoto-like viruses,Unclassified,Unclassified,Negarnaviricota,Polyploviricotina,Insthoviricetes
BeeP-46-2013_NODE_15_length_1718_cov_19321_072517,RNA viruses,Vira,Picornavirales,Iflaviridae,Infectious flachery-like viruses,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_104_length_1523_cov_22_702628,unclassified Alphapartitivirus,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Pear alphapartitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_109_length_1462_cov_4_883755,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_117_length_1361_cov_4_898754,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_136_length_1287_cov_3_813223,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_277_length_928_cov_5_968273,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_27_length_3194_cov_31_241258,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_327_length_835_cov_2_758575,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Varroa destructor virus 3,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_422_length_743_cov_3_061562,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_433_length_733_cov_5_385671,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_465_length_708_cov_3_293185,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_481_length_696_cov_6_161551,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_489_length_690_cov_2_288744,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_522_length_667_cov_3_564407,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_524_length_666_cov_3_084890,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_546_length_647_cov_2_631579,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_54_length_2115_cov_4_738469,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Varroa destructor virus 3,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_589_length_622_cov_3_434862,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_67_length_1854_cov_32_899268,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Rose partitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_686_length_571_cov_6_467611,RNA viruses,Vira,Picornavirales,Comoviridae,Unclassified,Strawberry latent ringspot nepovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_691_length_570_cov_2_044625,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_72_length_1789_cov_24_636098,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_88_length_1610_cov_66_399870,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Melon partitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_893_length_503_cov_1_807512,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,Varroa destructor virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-47-2013_NODE_92_length_1601_cov_71_142388,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Melon partitivirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-48-2013_NODE_40_length_1772_cov_2_030088,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-49-2013_NODE_1013_length_779_cov_2_857550,RNA viruses,Vira,Unclassified,Endornaviridae,Alphaendornavirus,Persea americana alphaendornavirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-49-2013_NODE_1016_length_777_cov_3_665714,RNA viruses,Vira,Tymovirales,Betaflexiviridae,Carlavirus,Atractylodes mottle virus,Quinvirinae,Unclassified,Unclassified,Unclassified
